feature,eda_rank,auc_equivalent,auc_directional_strength,p_value,mean_abs_shap,shap_rank,in_final_model_shap
AL_273,247,0.4932153846153846,0.5067846153846154,0.6731496026743302,0.0033642424668111,253.0,True
AL_334,248,0.4933244127267321,0.5066755872732679,0.6072171875849012,0.0033145506872685,254.0,True
AL_187,249,0.4933711538461538,0.5066288461538462,0.675188949748706,0.0067082843478189,216.0,True
AL_321,250,0.4934169227211154,0.5065830772788846,0.6127687751256168,0.0129135057874249,185.0,True
AL_53,251,0.4936790875937056,0.5063209124062944,0.5685932356907376,0.0029686307424172,262.0,True
AL_201,252,0.5061384615384615,0.5061384615384615,0.709011938541477,0.0127956037730154,186.0,True
AL_293,253,0.4939192307692308,0.5060807692307692,0.7017410451208739,0.0008271208133095,302.0,True
AL_44,254,0.4941349530627406,0.5058650469372594,0.0425280932830957,0.0,313.0,True
AL_249,255,0.4943653846153846,0.5056346153846154,0.7223066229108196,0.0011969356034858,293.0,True
AL_300,256,0.4944766577460601,0.5055233422539399,0.671077613757898,0.0046820898600597,233.0,True
AL_78,257,0.4946307369588542,0.5053692630411457,0.7202957009281472,0.0018714046630712,281.0,True
AL_108,258,0.4947680640919793,0.5052319359080206,0.7041865159204499,0.0035168996763105,249.0,True
AL_264,259,0.494801923076923,0.5051980769230769,0.7435530608037644,0.0065823823804151,218.0,True
AL_294,260,0.4953942307692308,0.5046057692307693,0.7712135466335932,0.0017709485902353,284.0,True
AL_285,261,0.4953961538461538,0.5046038461538462,0.771263428805621,0.0005752494292369,310.0,True
AL_210,262,0.4954019230769231,0.5045980769230769,0.7712900238274013,0.0005907398389412,309.0,True
AL_329,263,0.4957313245448839,0.5042686754551161,0.7425256574249244,0.0060056924165671,221.0,True
AL_159,264,0.4959412490189483,0.5040587509810517,0.7683587085498551,0.0049405559001447,229.0,True
AL_221,265,0.5040307692307693,0.5040307692307693,0.7997566922212656,0.0011477639519489,296.0,True
AL_132,266,0.5040128836294325,0.5040128836294325,0.7704038379479986,0.0017397777838479,285.0,True
AL_308,267,0.4963598969174348,0.5036401030825652,0.7794559272811387,0.0069521481442896,215.0,True
AL_41,268,0.4963973965016546,0.5036026034983454,0.2398785681349524,0.0,313.0,True
AL_59,269,0.503560393732694,0.503560393732694,0.5690088387321729,0.0025438042891263,268.0,True
AL_117,270,0.4964620982784454,0.5035379017215547,0.7973082094302488,0.0041095609979764,239.0,True
AL_105,271,0.5033391431978718,0.5033391431978718,0.8110650137194004,0.0051798077742227,228.0,True
AL_87,272,0.5031434978119085,0.5031434978119085,0.8339106036211191,0.0027058557692501,267.0,True
AL_90,273,0.4968821203390035,0.5031178796609965,0.8350941995229558,0.0080451112577547,208.0,True
AL_288,274,0.5024875621890548,0.5024875621890548,0.0903230204578093,0.0,313.0,True
AL_71,275,0.5023648021206186,0.5023648021206186,0.7833406298909744,0.0215842654885992,149.0,True
AL_153,276,0.4982264624040607,0.5017735375959392,0.8975016478866995,0.0053313148659044,227.0,True
AL_216,277,0.5014044943820225,0.5014044943820225,0.2927898098603855,0.0,313.0,True
AL_301,278,0.4987155978458387,0.5012844021541614,0.9237328657229872,0.0212873998352678,151.0,True
AL_138,279,0.4987299839973906,0.5012700160026093,0.92650850144772,0.0152260273928307,175.0,True
AL_252,280,0.5012285012285013,0.5012285012285013,0.231767761735952,0.0,313.0,True
AL_240,281,0.5012019230769231,0.5012019230769231,0.2210410106990249,0.0,313.0,True
