feature,eda_rank,auc_equivalent,auc_directional_strength,p_value,mean_abs_shap,shap_rank,in_final_model_shap
EK_7,1,0.7380420940311062,0.7380420940311062,5.720007501536054e-73,0.7663962287971123,2.0,True
EK7xEK9,2,0.7260589377568342,0.7260589377568342,3.577778316337493e-60,0.3647524812772947,6.0,True
EK_9,3,0.6955127226224948,0.6955127226224948,1.7798157559034062e-45,0.3233533544063106,8.0,True
EK_3,4,0.6902082510299679,0.6902082510299679,3.4528982018393455e-33,0.1621868676652051,30.0,True
n_pops,5,0.3160950968689416,0.6839049031310585,2.9574909832840894e-57,0.0200268549845047,157.0,True
EK_2,6,0.6737696397387603,0.6737696397387603,1.0122042672255758e-39,0.2374707755727404,17.0,True
n_nonmiss_AL,7,0.3368428663066983,0.6631571336933018,2.7336896474902758e-42,0.0314231937719806,122.0,True
AL_287,8,0.3427640825336058,0.6572359174663942,5.309885275797591e-17,0.1254895241116341,47.0,True
AL_215,9,0.3516697877652934,0.6483302122347065,2.0582462366231642e-12,0.0753244040278098,70.0,True
AL_26,10,0.3552820865438416,0.6447179134561585,9.56751348276055e-24,0.2437985815204321,15.0,True
EK_4,11,0.6373921519575578,0.6373921519575578,2.3007824430070846e-27,0.1699159666601434,29.0,True
AL_186,12,0.3665384235262457,0.6334615764737542,3.619675519279097e-21,0.1955983728998038,21.0,True
AL_251,13,0.3690804752448588,0.6309195247551411,2.219004644347721e-12,0.1172092367435162,53.0,True
AL_73,14,0.3696435807388397,0.6303564192611603,1.3954498160644866e-15,0.1514207522538579,35.0,True
max_AF,15,0.3720876539257538,0.6279123460742462,1.3156642235846288e-27,0.1201060591604584,51.0,True
AL_94,16,0.3739165029114275,0.6260834970885725,3.632288102005241e-13,0.0362420468579442,116.0,True
AL_79,17,0.3740370589157193,0.6259629410842806,3.823931285987114e-13,0.0624747554871387,80.0,True
AL_184,18,0.3790064102564102,0.6209935897435898,1.0696681906378383e-10,0.0785381672006954,69.0,True
AL_327,19,0.3809099018733274,0.6190900981266726,1.977774582512977e-15,0.1600905635991675,31.0,True
AL_136,20,0.3867086607752601,0.6132913392247399,1.0184168927550138e-12,0.1260022631270907,46.0,True
AL_224,21,0.3900538461538461,0.6099461538461539,1.7865644761049082e-09,0.0507410166838026,97.0,True
EK_6,22,0.6094898991002982,0.6094898991002982,4.35918390758256e-18,0.2801372185525692,11.0,True
AL_91,23,0.3939589386249382,0.6060410613750618,9.767804568649054e-10,0.1383509622843257,40.0,True
AL_260,24,0.3944730769230769,0.6055269230769231,7.72769797799333e-09,0.0217027707177222,148.0,True
AL_178,25,0.3988482198371199,0.6011517801628801,1.9631207724638616e-10,0.0839306477528552,63.0,True
AL_157,26,0.3990072266560662,0.6009927733439338,2.0952206475745667e-10,0.0381173866642111,113.0,True
AL_16,27,0.3996147260273973,0.6003852739726028,1.959319070292897e-08,0.1328137032623024,43.0,True
AL_188,28,0.4008807692307692,0.5991192307692308,5.8388949975114236e-08,0.0140963183500506,181.0,True
AL_83,29,0.4043945677464466,0.5956054322535533,2.3637976821249095e-13,0.0566929669523624,86.0,True
AL_124,30,0.4065070482830321,0.5934929517169678,4.045533678589197e-09,0.0736342007581845,71.0,True
AL_64,31,0.407121631660701,0.592878368339299,1.2713482741784351e-08,0.0570056778379636,85.0,True
AL_14,32,0.4077011288403101,0.5922988711596899,3.137772230470779e-10,0.1841749207842438,23.0,True
AL_40,33,0.4078497501181873,0.5921502498818126,1.6492645549478343e-08,0.1264597658168682,44.0,True
AL_82,34,0.4093238013719273,0.5906761986280726,1.7193108662961018e-07,0.0552724664733942,88.0,True
AL_226,35,0.409526923076923,0.5904730769230769,7.400353977295462e-07,0.0441779399584574,104.0,True
AL_194,36,0.4102346153846153,0.5897653846153846,9.0231820189385e-07,0.0501849610057065,99.0,True
AL_190,37,0.4134192307692307,0.5865807692307692,2.1630091294374746e-06,0.0301541585863476,124.0,True
AL_172,38,0.4144023484084029,0.585597651591597,7.221757009238565e-08,0.0297719744807918,125.0,True
AL_1,39,0.4147684460673506,0.5852315539326494,0.0239973177240052,0.1434275040638757,39.0,True
AL_17,40,0.4165348560482935,0.5834651439517065,3.026315846270513e-06,0.1749982283228005,26.0,True
EK_5,41,0.5829335962894687,0.5829335962894687,2.3872682201591154e-10,0.3687362178664147,5.0,True
AL_262,42,0.4183038461538461,0.5816961538461538,7.811688907856314e-06,0.0172526547033888,171.0,True
AL_92,43,0.4192787134263222,0.5807212865736777,2.318628576943524e-09,0.0022844955327407,274.0,True
AL_19,44,0.420195321569538,0.579804678430462,8.034767680214726e-06,0.1331851096791648,42.0,True
AL_127,45,0.42173704756954,0.57826295243046,8.475797943359396e-07,0.0248608305407801,137.0,True
AL_7,46,0.421982056407353,0.5780179435926469,1.0473749657139423e-07,0.0884131188362162,58.0,True
AL_115,47,0.4225035419788194,0.5774964580211805,1.0833863227153547e-06,0.0440777859019861,105.0,True
AL_24,48,0.4225198499258354,0.5774801500741645,1.4797965373523328e-05,0.0867209944397769,60.0,True
AL_296,49,0.4238510589090428,0.5761489410909572,3.799370274182738e-07,0.0825191483666401,64.0,True
AL_266,50,0.4246038461538461,0.5753961538461538,3.6985444026631e-05,0.0170262441114713,172.0,True
AL_103,51,0.4256918325535883,0.5743081674464117,2.935907794648777e-06,0.0394125022406204,111.0,True
AL_77,52,0.4268767555968125,0.5731232444031875,1.1942833205609978e-08,0.0196536586282527,160.0,True
AL_8,53,0.4272377497140348,0.5727622502859652,7.048065779764243e-07,0.1454955667588729,37.0,True
