path,extension,bytes,classification
artifacts/metrics/optuna_medical_best_params.json,.json,2766,ARCHIVE_PREVIOUS_RESULTS
artifacts/models/audited_master_only_lgbm/feature_columns.txt,.txt,3513,ARCHIVE_PREVIOUS_RESULTS
artifacts/models/audited_master_only_lgbm/full_model.joblib,.joblib,1150537,ARCHIVE_PREVIOUS_RESULTS
artifacts/models/experiments/experiment_001_initial/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_002_f1_threshold/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_003_youden_threshold/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_004_extra_trees/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_005_catboost/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_006_ensemble_stack/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_007_lr_ek_only/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_008_ek_only_features/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_009_al_only_features/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/experiments/experiment_010_engineered_only/README.md,.md,153,PROTECTED_DO_NOT_TOUCH
artifacts/models/final_model.pkl,.pkl,1217444,PROTECTED_DO_NOT_TOUCH
artifacts/models/final_model_columns.txt,.txt,3495,PROTECTED_DO_NOT_TOUCH
artifacts/models/lightgbm_final.joblib,.joblib,9797876,PROTECTED_DO_NOT_TOUCH
artifacts/models/model_columns.txt,.txt,3495,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/audited_master_only_oof_predictions.csv,.csv,189266,PROTECTED_DO_NOT_TOUCH
artifacts/predictions/audited_panel_unique_predictions.csv,.csv,17607,PROTECTED_DO_NOT_TOUCH
artifacts/predictions/final_ensemble_oof_predictions.csv,.csv,408134,PROTECTED_DO_NOT_TOUCH
artifacts/predictions/final_ensemble_panel_predictions.csv,.csv,52933,PROTECTED_DO_NOT_TOUCH
artifacts/predictions/final_master_cv_predictions.csv,.csv,220660,PROTECTED_DO_NOT_TOUCH
artifacts/predictions/final_panel_predictions.csv,.csv,29330,PROTECTED_DO_NOT_TOUCH
artifacts/predictions/master_cv_model_predictions_phase9.csv,.csv,1178574,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_folds/fold_0_predictions.csv,.csv,69533,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_folds/fold_1_predictions.csv,.csv,69073,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_folds/fold_2_predictions.csv,.csv,69039,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_folds/fold_3_predictions.csv,.csv,69999,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_folds/fold_4_predictions.csv,.csv,70372,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_oof_predictions.csv,.csv,317968,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/model_zoo_panel_predictions.csv,.csv,41687,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/oof_predictions.csv,.csv,140654,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/optuna_medical_candidate_oof_predictions.csv,.csv,190893,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/optuna_medical_candidate_panel_predictions.csv,.csv,19912,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/panel_unique_model_predictions_phase9.csv,.csv,21316,ARCHIVE_PREVIOUS_RESULTS
artifacts/predictions/panel_unique_predictions.csv,.csv,19465,ARCHIVE_PREVIOUS_RESULTS
artifacts/preprocessors/feature_engineer.joblib,.joblib,40787,ARCHIVE_PREVIOUS_RESULTS
artifacts/preprocessors/final_preprocessor.pkl,.pkl,40787,PROTECTED_DO_NOT_TOUCH
audit_outputs/00_repository_inventory.md,.md,83810,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/01_codebase_architecture.md,.md,746,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/02_data_audit_report.md,.md,1454,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/03_leakage_audit_report.md,.md,1575,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/04_metric_audit_report.md,.md,1847,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/05_validation_audit_report.md,.md,1060,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/06_pipeline_bug_report.md,.md,650,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/07_model_audit_report.md,.md,371,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/08_feature_engineering_audit.md,.md,432,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/09_threshold_calibration_audit.md,.md,347,ARCHIVE_PREVIOUS_RESULTS
audit_outputs/10_explainability_audit.md,.md,1153,ARCHIVE_PREVIOUS_RESULTS
