ensemble_id,fold,base_probability_column,weight
medical_utility_weighted_average,4,proba__lightgbm_conservative_regularized,0.16666666666666669
medical_utility_weighted_average,4,proba__lightgbm_high_capacity_controlled,0.16666666666666669
medical_utility_weighted_average,4,proba__catboost,0.16666666666666669
medical_utility_weighted_average,4,proba__xgboost,0.16666666666666669
medical_utility_weighted_average,4,proba__extra_trees,0.16666666666666669
medical_utility_weighted_average,4,proba__elasticnet_logistic_regression,0.16666666666666669
weighted_average,full_oof,proba__lightgbm_conservative_regularized,0.16671687282579273
weighted_average,full_oof,proba__lightgbm_high_capacity_controlled,0.1668405995214616
weighted_average,full_oof,proba__catboost,0.16826614746122512
weighted_average,full_oof,proba__xgboost,0.1671753306324985
weighted_average,full_oof,proba__extra_trees,0.167029494223583
weighted_average,full_oof,proba__elasticnet_logistic_regression,0.163971555335439
mcc_weighted_average,full_oof,proba__lightgbm_conservative_regularized,0.16666666666666669
mcc_weighted_average,full_oof,proba__lightgbm_high_capacity_controlled,0.16666666666666669
mcc_weighted_average,full_oof,proba__catboost,0.16666666666666669
mcc_weighted_average,full_oof,proba__xgboost,0.16666666666666669
mcc_weighted_average,full_oof,proba__extra_trees,0.16666666666666669
mcc_weighted_average,full_oof,proba__elasticnet_logistic_regression,0.16666666666666669
medical_utility_weighted_average,full_oof,proba__lightgbm_conservative_regularized,0.16666666666666669
medical_utility_weighted_average,full_oof,proba__lightgbm_high_capacity_controlled,0.16666666666666669
medical_utility_weighted_average,full_oof,proba__catboost,0.16666666666666669
medical_utility_weighted_average,full_oof,proba__xgboost,0.16666666666666669
medical_utility_weighted_average,full_oof,proba__extra_trees,0.16666666666666669
medical_utility_weighted_average,full_oof,proba__elasticnet_logistic_regression,0.16666666666666669
