model,fold,threshold_name,threshold,auc_roc,auc_pr,f1_macro,f1_weighted,mcc,benign_precision,benign_recall,benign_f1,pathogenic_precision,pathogenic_recall,pathogenic_f1
lightgbm_kanser_unique,-1,default_0.5,0.5,0.8991981672394044,0.7606599323817607,0.7146875627888286,0.7264600259786568,0.5299221377315994,0.9672131147540983,0.6082474226804123,0.7468354430379747,0.5308641975308642,0.9555555555555556,0.6825396825396826
lightgbm_kanser_unique,-1,f1_macro_opt,0.9954430527708128,0.8991981672394044,0.7606599323817607,0.8409854423292273,0.8606690535148178,0.6836373563154257,0.9139784946236559,0.8762886597938144,0.8947368421052632,0.7551020408163265,0.8222222222222222,0.7872340425531915
lightgbm_kanser_unique,-1,youden_j,0.9915180366628783,0.8991981672394044,0.7606599323817607,0.8371826371826372,0.8552375679136243,0.6824183087879274,0.9318181818181818,0.845360824742268,0.8864864864864865,0.7222222222222222,0.8666666666666667,0.7878787878787878
lightgbm_pah_unique,-1,default_0.5,0.5,0.8184273709483794,0.8344531168040634,0.7386880635288279,0.7531958487372501,0.5389456120519612,0.8928571428571429,0.5102040816326531,0.6493506493506493,0.7303370786516854,0.9558823529411765,0.8280254777070064
lightgbm_pah_unique,-1,f1_macro_opt,0.9638989824216982,0.8184273709483794,0.8344531168040634,0.7636363636363637,0.7695415695415696,0.5273889234010635,0.72,0.7346938775510204,0.7272727272727273,0.8059701492537313,0.7941176470588235,0.8
lightgbm_pah_unique,-1,youden_j,0.9638989824216982,0.8184273709483794,0.8344531168040634,0.7636363636363637,0.7695415695415696,0.5273889234010635,0.72,0.7346938775510204,0.7272727272727273,0.8059701492537313,0.7941176470588235,0.8
lightgbm_cftr_unique,-1,default_0.5,0.5,0.9619377162629758,0.9580663617428323,0.9116883116883117,0.9116883116883117,0.8249579113843054,0.9375,0.8823529411764706,0.9090909090909091,0.8888888888888888,0.9411764705882353,0.9142857142857143
lightgbm_cftr_unique,-1,f1_macro_opt,0.6150337175523843,0.9619377162629758,0.9580663617428323,0.9116883116883117,0.9116883116883117,0.8249579113843054,0.9375,0.8823529411764706,0.9090909090909091,0.8888888888888888,0.9411764705882353,0.9142857142857143
lightgbm_cftr_unique,-1,youden_j,0.8665370501573713,0.9619377162629758,0.9580663617428323,0.9116883116883117,0.9116883116883117,0.8249579113843054,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9375,0.8823529411764706,0.9090909090909091
