split,n,fn,fp,near_threshold,positive_rate
MASTER_OOF,2353,185,257,237,0.6846578835529111
CFTR_unique,34,2,1,1,0.5
KANSER_unique,142,3,34,7,0.31690140845070425
PAH_unique,117,5,22,9,0.5811965811965812
