fold,train_n,validation_n,validation_positive_rate
0,2344,587,0.7325383304940375
1,2345,586,0.7337883959044369
2,2345,586,0.7337883959044369
3,2345,586,0.7337883959044369
4,2345,586,0.7320819112627986
