panel,feature_group,mean_standardized_shift,missingness_delta
CFTR,AL_frequency,0.10919224572422899,-0.2542037836413261
CFTR,EK_conservation,0.2536473361993854,-0.11964574605311556
KANSER,AL_frequency,0.05762930087495443,0.026284139926417146
KANSER,EK_conservation,0.12292065712930841,-0.0784886095351543
PAH,AL_frequency,0.3308145934588455,-0.003127688229708252
PAH,EK_conservation,0.16032583518552831,-0.08924437694206902
