threshold,f1_macro,mcc,pathogenic_recall,specificity,tn,fp,fn,tp
0.4,0.7695484446669243,0.5544789340763449,0.925512104283054,0.5795148247978437,430,312,120,1491
0.45,0.7741349069586352,0.5542343211214875,0.9025450031036624,0.6226415094339622,462,280,157,1454
0.471,0.7763927374176759,0.5547540953901987,0.8851644941030415,0.6536388140161725,485,257,185,1426
0.5,0.7741961538117265,0.5484526683469466,0.8528864059590316,0.6981132075471698,518,224,237,1374
0.55,0.7597273997784122,0.5236843114193571,0.8075729360645562,0.7345013477088949,545,197,310,1301
0.6,0.7512495489339486,0.5142873992943304,0.7734326505276226,0.7681940700808625,570,172,365,1246
