model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp,fold,mean,median,std,min,max,iqr
lightgbm,fold_0,current_split,f1_macro_opt,0.663,0.8,0.7890876035853205,0.8649374260104853,0.9243533051432714,0.8493589743589743,0.7759453099642972,0.8037487828627069,0.8833333333333333,0.8179012345679012,0.7602739726027398,0.5568308772025994,111,35,59,265,0,0.6436,0.644,0.0218357505023299,0.617,0.667,0.03600000000000003
lightgbm,fold_0,current_split,mcc_opt,0.589,0.8276595744680851,0.7470615592761711,0.8649374260104853,0.9243533051432714,0.8847795163584637,0.7715036822298648,0.8144038917509085,0.820580474934037,0.9598765432098766,0.5342465753424658,0.5786871057501797,78,68,13,311,0,0.6284000000000001,0.617,0.05198846025802266,0.5730000000000001,0.6960000000000001,0.07800000000000007
lightgbm,fold_0,current_split,youden_j,0.6930000000000001,0.7787234042553192,0.7981143243700322,0.8649374260104853,0.9243533051432714,0.8231292517006803,0.7638373531230674,0.7862925827971421,0.9166666666666666,0.7469135802469136,0.8493150684931506,0.5560658180892204,124,22,82,242,0,0.6852,0.6900000000000001,0.011819475453673917,0.667,0.6960000000000001,0.013000000000000012
lightgbm,fold_1,current_split,f1_macro_opt,0.627,0.8179871520342612,0.7642113095238096,0.8536139455782312,0.910038942249771,0.8725637181409296,0.777105829107918,0.8124681734392049,0.8386167146974063,0.909375,0.6190476190476191,0.5616421528170811,91,56,29,291,1,0.6436,0.644,0.0218357505023299,0.617,0.667,0.03600000000000003
lightgbm,fold_1,current_split,mcc_opt,0.5730000000000001,0.8308351177730193,0.7349702380952381,0.8536139455782312,0.910038942249771,0.8895104895104895,0.7643899479515918,0.8107408123834746,0.8050632911392405,0.99375,0.47619047619047616,0.6043822666864445,70,77,2,318,1,0.6284000000000001,0.617,0.05198846025802266,0.5730000000000001,0.6960000000000001,0.07800000000000007
lightgbm,fold_1,current_split,youden_j,0.68,0.7665952890792291,0.7745216836734694,0.8536139455782312,0.910038942249771,0.8155668358714044,0.7488912896558189,0.7735912243352542,0.8892988929889298,0.753125,0.7959183673469388,0.5166871072938526,117,30,79,241,1,0.6852,0.6900000000000001,0.011819475453673917,0.667,0.6960000000000001,0.013000000000000012
lightgbm,fold_2,current_split,f1_macro_opt,0.617,0.8137044967880086,0.756864424930392,0.8467551938316557,0.910536498472291,0.8703427719821163,0.7697721464473319,0.807889921007625,0.836676217765043,0.906832298136646,0.6068965517241379,0.5470061073083949,88,57,30,292,2,0.6436,0.644,0.0218357505023299,0.617,0.667,0.03600000000000003
lightgbm,fold_2,current_split,mcc_opt,0.617,0.8137044967880086,0.756864424930392,0.8467551938316557,0.910536498472291,0.8703427719821163,0.7697721464473319,0.807889921007625,0.836676217765043,0.906832298136646,0.6068965517241379,0.5470061073083949,88,57,30,292,2,0.6284000000000001,0.617,0.05198846025802266,0.5730000000000001,0.6960000000000001,0.07800000000000007
lightgbm,fold_2,current_split,youden_j,0.6900000000000001,0.7730192719486081,0.7785393017776826,0.8467551938316557,0.910536498472291,0.822742474916388,0.7536331422200988,0.7798266152120542,0.8913043478260869,0.7639751552795031,0.7931034482758621,0.524272635914758,115,30,76,246,2,0.6852,0.6900000000000001,0.011819475453673917,0.667,0.6960000000000001,0.013000000000000012
lightgbm,fold_3,current_split,f1_macro_opt,0.644,0.7822410147991543,0.7537888071895424,0.8325674019607844,0.8993890379525793,0.8383045525902669,0.7524856096284668,0.7827853209913012,0.8422712933753943,0.834375,0.673202614379085,0.5050463473472818,103,50,53,267,3,0.6436,0.644,0.0218357505023299,0.617,0.667,0.03600000000000003
lightgbm,fold_3,current_split,mcc_opt,0.6960000000000001,0.7632135306553911,0.7704248366013071,0.8325674019607844,0.8993890379525793,0.8108108108108109,0.7472133150099252,0.7696673991510413,0.8823529411764706,0.75,0.7908496732026143,0.5118171044047191,121,32,80,240,3,0.6284000000000001,0.617,0.05198846025802266,0.5730000000000001,0.6960000000000001,0.07800000000000007
lightgbm,fold_3,current_split,youden_j,0.6960000000000001,0.7632135306553911,0.7704248366013071,0.8325674019607844,0.8993890379525793,0.8108108108108109,0.7472133150099252,0.7696673991510413,0.8823529411764706,0.75,0.7908496732026143,0.5118171044047191,121,32,80,240,3,0.6852,0.6900000000000001,0.011819475453673917,0.667,0.6960000000000001,0.013000000000000012
lightgbm,fold_4,current_split,f1_macro_opt,0.667,0.773109243697479,0.7611614875191034,0.7964034640855834,0.8670853148967658,0.8269230769230769,0.748827392120075,0.7773749743799958,0.862876254180602,0.7938461538461539,0.7284768211920529,0.5029757605954228,110,41,67,258,4,0.6436,0.644,0.0218357505023299,0.617,0.667,0.03600000000000003
lightgbm,fold_4,current_split,mcc_opt,0.667,0.773109243697479,0.7611614875191034,0.7964034640855834,0.8670853148967658,0.8269230769230769,0.748827392120075,0.7773749743799958,0.862876254180602,0.7938461538461539,0.7284768211920529,0.5029757605954228,110,41,67,258,4,0.6284000000000001,0.617,0.05198846025802266,0.5730000000000001,0.6960000000000001,0.07800000000000007
lightgbm,fold_4,current_split,youden_j,0.667,0.773109243697479,0.7611614875191034,0.7964034640855834,0.8670853148967658,0.8269230769230769,0.748827392120075,0.7773749743799958,0.862876254180602,0.7938461538461539,0.7284768211920529,0.5029757605954228,110,41,67,258,4,0.6852,0.6900000000000001,0.011819475453673917,0.667,0.6960000000000001,0.013000000000000012
