candidate_id,candidate_kind,source_artifact,model_family,threshold,threshold_strategy,threshold_source,calibration,calibration_status,panel_prediction_status,status,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,pathogenic_recall,specificity,f1,f1_macro,mcc,brier_score,log_loss,ppv,npv,tn,fp,fn,tp,medical_utility_score,clinical_safety_score,panel_roc_auc,panel_pr_auc,panel_accuracy,panel_balanced_accuracy,panel_precision,panel_pathogenic_recall,panel_specificity,panel_f1,panel_f1_macro,panel_mcc,panel_brier_score,panel_log_loss,panel_ppv,panel_npv,panel_tn,panel_fp,panel_fn,panel_tp,panel_medical_utility_score,panel_clinical_safety_score,fold_medical_utility_score_std,fold_mcc_std,fold_f1_macro_std,false_negative_case_rows,false_positive_case_rows,error_group_summary_rows,false_negative_cases_path,false_positive_cases_path,error_group_summary_path,matches_selected_oof_confusion_counts,improves_mcc,improves_f1_macro,improves_pr_auc,improves_panel_mcc,improves_panel_f1_macro,improves_medical_utility_score,improvement_count,oof_utility_not_degraded,panel_utility_not_degraded,panel_decision_not_degraded,fold_stability_not_degraded,eligible_to_replace,hidden_test_generalization_score,selected_as_final,rejection_reason,error_audit_status
lightgbm_conservative_regularized,current_final_model,saved_final_predictions,lightgbm_reference,0.471,profile_f1_macro_opt,saved_final_threshold,none,selected_for_final_decision_model,success,success,0.8475357255793643,0.9024943418220934,0.8121546961325967,0.769401654059607,0.8472964943553178,0.8851644941030415,0.6536388140161725,0.8658166363084396,0.7763927374176759,0.5547540953901987,0.1405715721369887,0.444046794310047,0.8472964943553178,0.7238805970149254,485.0,257.0,185.0,1426.0,0.7746748187761071,0.7383349741276918,0.8725342142520056,0.8250992446464279,0.7713310580204779,0.7866918357715904,0.6779661016949152,0.9230769230769232,0.6503067484662577,0.7817589576547231,0.7708077942395479,0.5824989834450162,0.1632839201359639,0.5086850719385503,0.6779661016949152,0.913793103448276,106.0,57.0,10.0,120.0,0.7748983600931982,0.727627152315692,0.020432024255925267,0.035587224893662214,0.01704619602597112,195,314,320,,,,,False,False,False,False,False,False,0,True,True,True,True,False,0.7246816071457824,True,Selected: preserved benchmark has direct saved OOF and panel-unique evidence plus documented calibration and error-analysis audits.,archived_case_counts_do_not_match_selected_oof_confusion
lightgbm_high_capacity_controlled,model_zoo,model_zoo_oof_predictions,lightgbm,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_challenger,not_evaluated_for_challenger,success,success,0.8423987879822179,0.9031641159180256,0.8053548661283468,0.7517137068101546,0.8318940702360391,0.8969584109248914,0.6064690026954178,0.8632019115890084,0.7629706170610726,0.5321037485696429,0.1395416721795939,0.4527561028425555,0.8318940702360391,0.7305194805194806,450.0,292.0,166.0,1445.0,0.7636043345870054,0.7305689995856216,0.8784804152902312,0.8254530214194378,0.7610921501706485,0.7798253893345918,0.6612903225806451,0.946153846153846,0.6134969325153374,0.7784810126582279,0.7596108766994842,0.5774763858334375,0.1664148500901464,0.5371044119524038,0.6612903225806451,0.9345794392523364,100.0,63.0,7.0,123.0,0.7723879731501223,0.7258497277094345,0.021859552651064613,0.04745302070319468,0.023245603574649477,195,314,320,,,,,False,False,True,False,False,False,1,False,False,False,True,False,0.7134544089926101,False,lower OOF MedicalUtilityScore; lower panel MedicalUtilityScore; lower panel F1-macro; lower panel MCC; fewer than two required metric improvements.,not_evaluated_for_challenger
catboost,model_zoo,model_zoo_oof_predictions,catboost,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_challenger,not_evaluated_for_challenger,success,success,0.850874044850012,0.9108810849795616,0.8215044623884403,0.7409713542843088,0.8135860979462876,0.9590316573556796,0.522911051212938,0.8803418803418803,0.7645856558900037,0.5674854463568186,0.1336185092914271,0.4268900696775616,0.8135860979462876,0.8546255506607929,388.0,354.0,66.0,1545.0,0.7730831130962126,0.7489627703944194,0.8883907503539406,0.8507347075336404,0.7201365187713311,0.745351580934403,0.6176470588235294,0.9692307692307692,0.5214723926380368,0.7544910179640718,0.7145470962836232,0.530120071297948,0.1773141058041734,0.5324750922014017,0.6176470588235294,0.9550561797752808,85.0,78.0,4.0,126.0,0.7547362827779348,0.7068823094586879,0.02288053280623809,0.04270315838443017,0.02412502577974416,195,314,320,,,,,True,False,True,False,False,False,2,False,False,False,True,False,0.717235762340195,False,lower OOF MedicalUtilityScore; lower panel MedicalUtilityScore; lower panel F1-macro; lower panel MCC.,not_evaluated_for_challenger
xgboost,model_zoo,model_zoo_oof_predictions,xgboost,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_challenger,not_evaluated_for_challenger,success,success,0.8447570694065898,0.9049761276755772,0.8181045473863153,0.7432137712257877,0.8171581769436997,0.9459962756052142,0.5404312668463612,0.8768699654775605,0.7644512429013819,0.5574662137514946,0.1369014314302074,0.4452391883587147,0.8171581769436997,0.8217213114754098,401.0,341.0,87.0,1524.0,0.7691082737907053,0.7429377777344784,0.8752241623407269,0.8151853689180564,0.7406143344709898,0.7645351580934403,0.635,0.9769230769230768,0.5521472392638037,0.7696969696969697,0.7364109848484848,0.5647059999553253,0.1824635119758771,0.5794446677951665,0.635,0.967741935483871,90.0,73.0,3.0,127.0,0.7610401339106156,0.7129000098687479,0.019319201540607168,0.038671185623149015,0.02126452920265463,195,314,320,,,,,True,False,True,False,False,False,2,False,False,False,True,False,0.7177407164680369,False,lower OOF MedicalUtilityScore; lower panel MedicalUtilityScore; lower panel F1-macro; lower panel MCC.,not_evaluated_for_challenger
extra_trees,model_zoo,model_zoo_oof_predictions,extra_trees,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_challenger,not_evaluated_for_challenger,success,success,0.8353055392425056,0.9041866662872546,0.7832554186145346,0.7337572216617225,0.8247787610619469,0.8677839851024208,0.5997304582210242,0.8457350272232305,0.7407246564687581,0.484001778193434,0.1472527894320204,0.4578576994633831,0.8247787610619469,0.6762917933130699,445.0,297.0,213.0,1398.0,0.7443724478374616,0.706764313691351,0.8660689004247287,0.8140572148153027,0.7508532423208191,0.7714016045304389,0.6492146596858639,0.953846153846154,0.588957055214724,0.7725856697819314,0.7485569858343619,0.5660973415534291,0.1689154294438945,0.5114635022701067,0.6492146596858639,0.9411764705882352,96.0,67.0,6.0,124.0,0.7623507109141596,0.7181055313543537,0.016912018900667503,0.03071613741329604,0.016041972165347317,195,314,320,,,,,False,False,True,False,False,False,1,False,False,False,True,False,0.6914294677207167,False,lower OOF MedicalUtilityScore; lower panel MedicalUtilityScore; lower panel F1-macro; lower panel MCC; fewer than two required metric improvements.,not_evaluated_for_challenger
elasticnet_logistic_regression,model_zoo,model_zoo_oof_predictions,elasticnet_logistic,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_challenger,not_evaluated_for_challenger,success,success,0.8152463437853972,0.8876330175928511,0.7484062898427539,0.7370227596326469,0.8501718213058419,0.7678460583488517,0.706199460916442,0.806914546640574,0.7229694684422383,0.4534194061322462,0.1725072488049411,0.5263081532722954,0.8501718213058419,0.5835189309576837,524.0,218.0,374.0,1237.0,0.725867587117281,0.670234466168236,0.8575743275129779,0.8312945890010075,0.7815699658703071,0.7826569136385086,0.7357142857142858,0.7923076923076923,0.7730061349693251,0.762962962962963,0.7802156586966713,0.5622705709908702,0.1530698233336995,0.4650640536415195,0.7357142857142858,0.8235294117647058,126.0,37.0,27.0,103.0,0.7651738932818245,0.709894988043252,0.02937667832822214,0.048249856621827,0.02322580139088925,195,314,320,,,,,False,False,False,False,True,False,1,False,False,False,False,False,0.6737165048904209,False,lower OOF MedicalUtilityScore; lower panel MedicalUtilityScore; lower panel MCC; fewer than two required metric improvements; less stable across folds.,not_evaluated_for_challenger
simple_average,ensemble,final_ensemble_oof_predictions,OOF_ensemble,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_ensemble,not_evaluated_for_ensemble,success,success,0.8517122846468266,0.9098668622018063,0.817254568635784,0.7531341970047567,0.8271468144044322,0.9267535692116696,0.5795148247978437,0.8741217798594848,0.7703942232630757,0.5565467564260825,0.1345432431606308,0.4269715809953507,0.8271468144044322,0.7846715328467153,430.0,312.0,118.0,1493.0,0.7737559728264108,0.7446644347334886,0.8848985370457763,0.8447288333351719,0.7610921501706485,0.7798253893345918,0.6612903225806451,0.946153846153846,0.6134969325153374,0.7784810126582279,0.7596108766994842,0.5774763858334375,0.1569917374087801,0.4799974673536195,0.6612903225806451,0.9345794392523364,100.0,63.0,7.0,123.0,0.7770128812109526,0.7334741351651277,0.023039782883938997,0.045269315283861876,0.022883338094395137,195,314,320,,,,,True,False,True,False,False,False,2,False,True,False,True,False,0.7239699210312153,False,lower OOF MedicalUtilityScore; lower panel F1-macro; lower panel MCC.,not_evaluated_for_challenger
rank_average,ensemble,final_ensemble_oof_predictions,OOF_ensemble,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_ensemble,not_evaluated_for_ensemble,success,success,0.8513613449314935,0.9098905238150382,0.7420314492137696,0.7629002762343122,0.8946540880503144,0.7063935443823712,0.8194070080862533,0.7894554283732224,0.7282438963040001,0.4902463380135508,0.180292204341447,0.5337637689832458,0.8946540880503144,0.5624421831637373,608.0,134.0,473.0,1138.0,0.7477053866230646,0.6756861619789571,0.8840726757904672,0.8424897186937378,0.8225255972696246,0.8303680981595092,0.75,0.9,0.7607361963190185,0.8181818181818182,0.8224242424242425,0.6579168275459415,0.1438947079119286,0.446685187920863,0.75,0.9051094890510948,124.0,39.0,13.0,117.0,0.8125309671600722,0.7669606820787026,0.015407335217549408,0.024493806712911615,0.012572172848071128,195,314,320,,,,,False,False,True,True,True,False,3,False,True,True,True,False,0.7027940404821607,False,lower OOF MedicalUtilityScore.,not_evaluated_for_challenger
weighted_average,ensemble,final_ensemble_oof_predictions,OOF_ensemble,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_ensemble,not_evaluated_for_ensemble,success,success,0.8517122846468267,0.909880039205647,0.817254568635784,0.7531341970047567,0.8271468144044322,0.9267535692116696,0.5795148247978437,0.8741217798594848,0.7703942232630757,0.5565467564260825,0.1345024038064489,0.4268720338261115,0.8271468144044322,0.7846715328467153,430.0,312.0,118.0,1493.0,0.7737583446871023,0.7446834058759295,0.8849929211892402,0.8450285263322492,0.7610921501706485,0.7798253893345918,0.6612903225806451,0.946153846153846,0.6134969325153374,0.7784810126582279,0.7596108766994842,0.5774763858334375,0.1571209133747102,0.4803722936853793,0.6612903225806451,0.9345794392523364,100.0,63.0,7.0,123.0,0.77708381509625,0.7334824033781712,0.02301760667595243,0.045269315283861876,0.022883338094395137,195,314,320,,,,,True,False,True,False,False,False,2,False,True,False,True,False,0.7239863359643822,False,lower OOF MedicalUtilityScore; lower panel F1-macro; lower panel MCC.,not_evaluated_for_challenger
mcc_weighted_average,ensemble,final_ensemble_oof_predictions,OOF_ensemble,0.471,profile_f1_macro_opt,saved_final_threshold,not_evaluated_for_ensemble,not_evaluated_for_ensemble,success,success,0.8517122846468266,0.9098668622018063,0.817254568635784,0.7531341970047567,0.8271468144044322,0.9267535692116696,0.5795148247978437,0.8741217798594848,0.7703942232630757,0.5565467564260825,0.1345432431606307,0.4269715809953507,0.8271468144044322,0.7846715328467153,430.0,312.0,118.0,1493.0,0.7737559728264108,0.7446644347334886,0.8848985370457763,0.8447288333351719,0.7610921501706485,0.7798253893345918,0.6612903225806451,0.946153846153846,0.6134969325153374,0.7784810126582279,0.7596108766994842,0.5774763858334375,0.1569917374087801,0.4799974673536195,0.6612903225806451,0.9345794392523364,100.0,63.0,7.0,123.0,0.7770128812109526,0.7334741351651277,0.023039782883938997,0.045269315283861876,0.022883338094395137,195,314,320,,,,,True,False,True,False,False,False,2,False,True,False,True,False,0.7239699210312153,False,lower OOF MedicalUtilityScore; lower panel F1-macro; lower panel MCC.,not_evaluated_for_challenger
