fold,train_roc_auc,validation_roc_auc,roc_auc_gap
0,0.9065894124490983,0.8638170133603923,0.042772399088706003
1,0.9458262939854697,0.8596301020408164,0.08619619194465333
2,0.9390517928731135,0.8577211394302849,0.08133065344282853
3,0.9105096766639345,0.8411458333333333,0.0693638433306012
4,0.9401553488372093,0.8133469179826797,0.12680843085452964
