model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp,calibration_method,brier_score,log_loss
lightgbm,MASTER_CV,current_split,f1_macro_opt,0.631,0.7981300467488313,0.7471644572941083,0.8375186763507625,0.9011216655590524,0.8572287345957319,0.756388116391412,0.7936301466589658,0.831002331002331,0.8851644941030415,0.6091644204851752,0.5169367155703188,452,290,185,1426,none,0.17273168379567105,0.5241235223949027
lightgbm,MASTER_CV,current_split,mcc_opt,0.585,0.8091797705057373,0.7279723631837051,0.8375186763507625,0.9011216655590524,0.8718241507279475,0.7492952840090278,0.7945471264139328,0.8070824524312896,0.9478584729981379,0.5080862533692723,0.5337659809202171,377,365,84,1527,none,0.17273168379567105,0.5241235223949027
lightgbm,panel_unique_combined,MASTER_CV,master_f1_threshold,0.631,0.757679180887372,0.7752005663048608,0.8681453515809344,0.8098509862418657,0.7731629392971247,0.7565448396119323,0.7546731765074568,0.6612021857923497,0.9307692307692308,0.6196319018404908,0.5647066601372233,101,62,9,121,none,0.21647750372384042,1.1362688443849267
lightgbm,MASTER_CV,current_split,f1_macro_opt,0.5660000000000001,0.7981300467488313,0.7471644572941083,0.8365817216876561,0.8989201225884653,0.8572287345957319,0.756388116391412,0.7936301466589658,0.831002331002331,0.8851644941030415,0.6091644204851752,0.5169367155703188,452,290,185,1426,sigmoid,0.14551664705291678,0.4583228955062539
lightgbm,MASTER_CV,current_split,mcc_opt,0.448,0.8083297917552061,0.7269881425041117,0.8365817216876561,0.8989201225884653,0.8712532115329717,0.7481785592161949,0.7936319688478477,0.806553911205074,0.9472377405338299,0.5067385444743935,0.5314615633621039,376,366,85,1526,sigmoid,0.14551664705291678,0.4583228955062539
lightgbm,panel_unique_combined,MASTER_CV,master_f1_threshold,0.5660000000000001,0.757679180887372,0.7752005663048608,0.8681453515809344,0.8098509862418657,0.7731629392971247,0.7565448396119323,0.7546731765074568,0.6612021857923497,0.9307692307692308,0.6196319018404908,0.5647066601372233,101,62,9,121,sigmoid,0.22555733591517416,0.9360107297909933
lightgbm,MASTER_CV,current_split,f1_macro_opt,0.579,0.7977050573735657,0.7435826971243857,0.8309645948256679,0.8919899182137273,0.8576555023923444,0.7540847262328829,0.7923350468799598,0.827466820542412,0.8901303538175046,0.5970350404312669,0.5138436895648872,443,299,177,1434,isotonic,0.1416132547329061,0.46347024063574055
lightgbm,MASTER_CV,current_split,mcc_opt,0.485,0.8079048023799406,0.7270412644872433,0.8309645948256679,0.8919899182137273,0.8708571428571429,0.7480322198531154,0.7933934005120613,0.806776071995765,0.9459962756052142,0.5080862533692723,0.5302852486211765,377,365,87,1524,isotonic,0.1416132547329061,0.46347024063574055
lightgbm,panel_unique_combined,MASTER_CV,master_f1_threshold,0.579,0.757679180887372,0.7752005663048608,0.7809108069844265,0.6527616689512117,0.7731629392971247,0.7565448396119323,0.7546731765074568,0.6612021857923497,0.9307692307692308,0.6196319018404908,0.5647066601372233,101,62,9,121,isotonic,0.23590096177204017,3.32892019607846
