model_name,evaluation_split,threshold_source,threshold_strategy,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,tn,fp,fn,tp
acmg_rule_baseline,MASTER_CV,MASTER_CV,default_0.5,0.5,0.5439864003399915,0.5960968309181653,0.6812777217278113,0.7958015756708998,0.5773926742812131,0.5411190413399605,0.5545154659153742,0.7898706896551724,0.4549968963376785,0.7371967654986523,0.18272895222653185,547,195,878,733
acmg_rule_baseline,MASTER_CV,MASTER_CV,f1_macro_opt,0.001,0.6940076498087547,0.6216903331375767,0.6812777217278113,0.7958015756708998,0.7853309481216458,0.6263932847117105,0.6850914697959578,0.7555938037865749,0.8175046554934823,0.42587601078167114,0.2580608880638568,316,426,294,1317
acmg_rule_baseline,MASTER_CV,MASTER_CV,mcc_opt,0.001,0.6940076498087547,0.6216903331375767,0.6812777217278113,0.7958015756708998,0.7853309481216458,0.6263932847117105,0.6850914697959578,0.7555938037865749,0.8175046554934823,0.42587601078167114,0.2580608880638568,316,426,294,1317
acmg_rule_baseline,MASTER_CV,MASTER_CV,youden_j,0.018000000000000002,0.619209519762006,0.6310398021687154,0.6812777217278113,0.7958015756708998,0.6829440905874027,0.6031741729532758,0.6326344612762916,0.7942386831275721,0.5990068280571074,0.6630727762803235,0.24368212727645353,492,250,646,965
acmg_rule_baseline,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.018000000000000002,0.619209519762006,0.6310398021687154,0.6812777217278113,0.7958015756708998,0.6829440905874027,0.6031741729532758,0.6326344612762916,0.7942386831275721,0.5990068280571074,0.6630727762803235,0.24368212727645353,492,250,646,965
acmg_rule_baseline,MASTER_CV,MASTER_CV,recall_constrained_f1,0.0,0.6846578835529111,0.5,0.6812777217278113,0.7958015756708998,0.8128153380423815,0.40640766902119074,0.556500429063441,0.6846578835529111,1.0,0.0,0.0,0,742,0,1611
acmg_rule_baseline,MASTER_CV,MASTER_CV,specificity_constrained_f1,0.007,0.6336591585210369,0.6226908668671081,0.6812777217278113,0.7958015756708998,0.7091767881241565,0.6071716317199427,0.6448437443061144,0.7767923133776792,0.6523898199875854,0.5929919137466307,0.230644474715668,440,302,560,1051
catboost,MASTER_CV,MASTER_CV,default_0.5,0.5,0.811729706757331,0.7232917727014913,0.8454568574205973,0.9060067312655419,0.8750352609308886,0.7467338234025674,0.7941175672241191,0.8019648397104446,0.962756052141527,0.4838274932614555,0.5423968937689433,359,383,60,1551
catboost,MASTER_CV,MASTER_CV,f1_macro_opt,0.615,0.8104547386315342,0.7645253069781371,0.8454568574205973,0.9060067312655419,0.8652567975830816,0.7728862784477013,0.8070001675801473,0.8428487345497352,0.8888888888888888,0.6401617250673854,0.5487333830347807,475,267,179,1432
catboost,MASTER_CV,MASTER_CV,mcc_opt,0.51,0.8159796005099873,0.731120781821741,0.8454568574205973,0.9060067312655419,0.8773023519410598,0.754708949972229,0.7999846262624603,0.8070907194994786,0.9608938547486033,0.5013477088948787,0.5532861341806742,372,370,63,1548
catboost,MASTER_CV,MASTER_CV,youden_j,0.667,0.7598810029749257,0.7661214761720718,0.8454568574205973,0.9060067312655419,0.8103390399462908,0.7415910602163417,0.7669807730872834,0.8823099415204678,0.7492240844196152,0.7830188679245284,0.501300893147118,581,161,404,1207
catboost,MASTER_CV,MASTER_CV,balanced_accuracy_opt,0.667,0.7598810029749257,0.7661214761720718,0.8454568574205973,0.9060067312655419,0.8103390399462908,0.7415910602163417,0.7669807730872834,0.8823099415204678,0.7492240844196152,0.7830188679245284,0.501300893147118,581,161,404,1207
