trial,state,medical_utility_score,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain,param_scale_pos_weight,fold_0_medical_utility_score,fold_0_threshold,fold_1_medical_utility_score,fold_1_threshold,fold_2_medical_utility_score,fold_2_threshold,fold_3_medical_utility_score,fold_3_threshold,fold_4_medical_utility_score,fold_4_threshold,mean_balanced_accuracy,mean_best_iteration,mean_f1_macro,mean_mcc,mean_medical_utility_score,mean_pathogenic_recall,mean_pr_auc,mean_roc_auc,mean_specificity,std_balanced_accuracy,std_f1_macro,std_mcc,std_medical_utility_score,std_pathogenic_recall,std_pr_auc,std_roc_auc,std_specificity,threshold_mean,threshold_median,threshold_std
0,COMPLETE,0.7795213720657314,1100,0.057535715320495805,97,6,48,0.6967983561008608,0.5732334448672798,3.9676050770529883,3.862689194653676,0.07080725777960455,0.308233797718321,0.7823286196487145,0.3218694029114628,0.7850468543729798,0.31806037985928537,0.7872517791861254,0.354530763458104,0.7859715242469021,0.4082582585610524,0.7795213720657314,0.40196544507082377,0.7723395424757312,148.2,0.77957170810706,0.5648840335932943,0.7795213720657314,0.887730586375514,0.9092010225612455,0.8499580047191528,0.6569484985759484,0.009035771487224791,0.01046645849976135,0.023045048055119803,0.014964171012289992,0.04312523882028019,0.01903019359081576,0.020110098657030433,0.05167462854984939,0.3609368499721457,0.354530763458104,0.042802909890021425
1,COMPLETE,0.7842969047374091,2000,0.051622132040021085,38,4,52,0.7412726728878614,0.7599025726528952,0.19762189340280073,1.3463276257432362,0.06118528947223795,0.3557975442608167,0.8003975387593296,0.3991918342528178,0.7973666395942689,0.3890920357584849,0.7967591579977721,0.3868771522725402,0.7911121762303001,0.5155890916521084,0.7842969047374091,0.3254047543064215,0.7761902100109249,94.8,0.7846831183409207,0.5761807704606994,0.7842969047374091,0.8961728940678215,0.9105992428627033,0.8516720826249772,0.6562075259540282,0.01786654546258089,0.015938850733714097,0.028125326008253772,0.01824970034178804,0.04122160022173754,0.016015805522874384,0.02075453526817476,0.06332201110540481,0.4032309736484746,0.3890920357584849,0.0692187452640294
2,COMPLETE,0.7824020089755642,1000,0.02831809216468458,66,7,54,0.8042703315240834,0.786965827544817,0.013783237455007183,3.948093400513344,0.017052412368729154,0.3260206371941118,0.794107353118216,0.41436742091299816,0.7940876686341006,0.3823716601481578,0.7954830553591531,0.32549803871941907,0.7887944334440959,0.4381385694149199,0.7824020089755642,0.291150868374241,0.7706341001700144,108.0,0.7831730775243049,0.5754623065309552,0.7824020089755642,0.9105168256327676,0.9081765220716822,0.8500167155922245,0.6307513747072614,0.015673342172334626,0.01596837154598255,0.030986685895712112,0.018478346576609576,0.03192312700632375,0.017750844881699757,0.020493885195228927,0.045899796915829544,0.3703053115139472,0.3823716601481578,0.0611586761947076
3,COMPLETE,0.7810297985978127,1950,0.05828160165372796,106,4,41,0.855269907953647,0.7260609974958405,0.023233503515390115,2.6940542889086165,0.0034388521115218396,0.6637281608315128,0.7942323743825472,0.5323824553464329,0.7998751081400292,0.4414226532463387,0.7975443656592591,0.5062475561053409,0.7887173443093128,0.6678205482739156,0.7810297985978127,0.5199002303051518,0.7715735630516397,81.4,0.781769391686437,0.5725203770718671,0.7810297985978127,0.8993862839388201,0.9063290732240091,0.8498072252836113,0.6437608421644592,0.014775498939765479,0.0196016769046234,0.044693002454246906,0.023522531240613747,0.05213191201935808,0.020346636701582224,0.02304780449854807,0.05443685646448831,0.533554688655436,0.5199002303051518,0.08283889614726778
4,COMPLETE,0.7814696651252363,950,0.043126114217699095,50,6,96,0.7054563366576582,0.9378338511058234,2.1154290797261215,12.21023042245571,0.08948273504276488,0.5391599915244341,0.7979995806576524,0.48930775474144633,0.7959180321437456,0.34784442097746926,0.7942185561949605,0.4767791821808151,0.7874296896198317,0.5193931976295741,0.7814696651252363,0.4294065746468988,0.7700178300144833,177.2,0.7819298013368936,0.5760832826639172,0.7814696651252363,0.9081153330030141,0.9065617937866961,0.8484294144438251,0.6319203270259524,0.014165847830831886,0.014187066721229815,0.036067807477598905,0.017954785932007392,0.047543518150342544,0.01820879074080061,0.02040800537244378,0.06117743792288117,0.45254622603524075,0.4767791821808151,0.06690492361634101
5,COMPLETE,0.7831041939128891,1900,0.014424625102595975,37,3,69,0.7666031869068446,0.6585396127095584,3.063462210622083,1.6824335720939767,0.02809345096873808,0.5170784332632994,0.8045869093055285,0.4623071496892378,0.7993293040561005,0.43298850230208225,0.7990526113706259,0.39941189482870015,0.7915253905032983,0.524440101380821,0.7831041939128891,0.4197855646157572,0.7733080001966437,388.4,0.7837089909546322,0.5739282729717742,0.7831041939128891,0.9012360926781217,0.910365210463171,0.8512243598247,0.6453799077151656,0.018195163244242002,0.020663697473260436,0.04254889776335682,0.023205515869527505,0.037298359858208334,0.018222086743145793,0.021845600891834415,0.04345226904392385,0.4477866425633197,0.43298850230208225,0.04855347416942738
6,COMPLETE,0.7804208783085427,800,0.050109849037701985,23,8,123,0.7096147044602518,0.552208846849441,2.7950159165083357,5.534571609696724,0.07290071680409874,0.6085081386743783,0.7966215828655843,0.5370630381431065,0.7929744076699681,0.5275320157238605,0.7922924374339995,0.4850202380098743,0.7874107519823985,0.554821548080537,0.7804208783085427,0.4619440357614038,0.7754534628918188,109.8,0.7818370349986116,0.5664380985593234,0.7804208783085427,0.886313576117924,0.9079021256360328,0.8485977639715274,0.6645933496657138,0.016637140923886497,0.01462937410925067,0.026775110202024482,0.017975894886912123,0.021330755400123,0.01752936802866182,0.02021892714898348,0.04305802347787138,0.5132761751437565,0.5275320157238605,0.038498208956179204
7,COMPLETE,0.7856056332231225,700,0.02792328642721363,28,8,105,0.7492694074557947,0.5754233401144095,0.08569331925053984,1.5111417378233667,0.0729606178338064,0.5550229885420852,0.8032060781756314,0.5332733003326776,0.8011199312249444,0.5029596734973333,0.7996522668470151,0.42956243897401486,0.7926597184958813,0.5602595321515219,0.7856056332231225,0.4132787750111003,0.7766003503226312,126.4,0.7866980953315335,0.5806053330147907,0.7856056332231225,0.902405287613621,0.9094195044879511,0.8517511651720928,0.6507954130316413,0.01776819802573143,0.017894284874223104,0.03406149009803603,0.02002235888063353,0.03890961132835793,0.016928715546126207,0.020015965283237454,0.05494150038821761,0.48786674399332963,0.5029596734973333,0.0642125859111892
8,COMPLETE,0.7780419360558511,1850,0.033610746258097464,28,7,122,0.8183831592708488,0.8583868719818244,0.30296104428212484,2.958760261545333,0.042754101835854964,0.3101676506976381,0.7997532805102416,0.361806880840025,0.794107795772993,0.3725815166079158,0.7918976039788914,0.2869217150132239,0.7874770575641026,0.40074890297978766,0.7780419360558511,0.4565906177554516,0.7728417660696569,162.2,0.7801881896362899,0.5652910474683912,0.7780419360558511,0.8871206601369644,0.9041833528167091,0.8451989978211373,0.6585628720023495,0.013219269342740269,0.019601369212461424,0.041195968732950096,0.022956359724542137,0.045404716851223256,0.019133126160738374,0.02595885718235114,0.035474800295023284,0.3757299266392808,0.3725815166079158,0.06175569343628147
9,COMPLETE,0.7838081054132783,750,0.011571459284336713,86,4,91,0.9222699421778279,0.64971689165955,0.1702741688676441,6.53146569417046,0.022879816549162248,0.33079196393151716,0.7985974188886596,0.4276817034008999,0.7971720018215718,0.2907716453948114,0.7993810476727723,0.3354405402596819,0.7913836653285987,0.3941677074922,0.7838081054132783,0.33068088950457203,0.77286557798597,495.8,0.7844316300767534,0.577503853343874,0.7838081054132783,0.9069016555773801,0.9101417988435763,0.850391053699964,0.6388295003945597,0.018092902807694496,0.019304188691334517,0.04162467846249408,0.02207160269433059,0.03750678474917872,0.018383896162342372,0.021068415390517986,0.04811090921068851,0.35574849721043306,0.3354405402596819,0.05457382892695135
10,COMPLETE,0.7812100211084608,850,0.022602481530730353,30,8,141,0.8707356183085277,0.573529461201421,0.010367454520289433,2.22928475892003,0.06601227183889406,0.6712569145113585,0.8020971893716634,0.5685805561737305,0.7951218181579238,0.5423558552927122,0.7944700781088039,0.46212822569699963,0.7879546069720991,0.5669873437253727,0.7812100211084608,0.40935604374926876,0.7709248111040414,153.0,0.7815326885942734,0.5727330343395047,0.7812100211084608,0.9042381107218065,0.9082181555539555,0.8487302438157034,0.6376115114862767,0.021347038274346038,0.01817811876343106,0.029423638061398912,0.019487594366206836,0.03892927895892826,0.017344623229833992,0.02071572393078118,0.06917296123366368,0.5098816049276168,0.5423558552927122,0.07097003398613212
11,COMPLETE,0.7794068663046225,800,0.033061683234532235,29,6,91,0.6903428818512424,0.6581449548598355,0.09043504554899247,0.5969862662924439,0.07795231223098746,0.53492547635406,0.7984872412631792,0.47968953290877514,0.7930368677736322,0.4354120119001007,0.7935511986321796,0.513840031819413,0.7879651569087445,0.609251687745631,0.7794068663046225,0.6734148530608131,0.7705930485454067,76.4,0.7789925981875404,0.5654310082598255,0.7794068663046225,0.8931403450950552,0.9098563387423596,0.849825170643179,0.6480457519957581,0.02126708993721646,0.020014710185432782,0.03932891434146238,0.021796407196296008,0.04530785809979095,0.014136482748673764,0.0206010051308049,0.06809363688996224,0.5423216234869466,0.513840031819413,0.0972480246914259
12,PRUNED,0.7922280848785132,2000,0.05046174005088644,30,5,35,0.6544120584061051,0.6679754116538039,0.10927998581759556,1.5474248461641797,0.04634270645900662,0.4108421896014669,0.7928474416183229,0.5177450293963215,0.790062863906329,0.47638782189910817,0.7922280848785132,0.4542965899517448,,,,,,,,,,,,,,,,,,,,,,,,
13,COMPLETE,0.7815669997781794,1550,0.04888965722180937,20,3,46,0.7924263487088546,0.8142346431253059,0.19439085237546433,1.3114707442263709,0.07076166307684906,0.3735036769989903,0.7962129533922302,0.417633953625881,0.7951175556243174,0.41854344728818166,0.7955785713434981,0.4086026865420845,0.7885298574390657,0.6404127083664625,0.7815669997781794,0.37161648583691087,0.7742987492459017,65.8,0.7835175977779226,0.5727734807007102,0.7815669997781794,0.8987018589301199,0.9048156808589873,0.8488222717843703,0.6498956395616837,0.018803960786342323,0.016173779938806004,0.027548124581687775,0.01980855341824324,0.02652984164446053,0.021850974025533747,0.022063500516763316,0.05303442347223487,0.45136185633190407,0.417633953625881,0.10740404410984589
