dataset,metric,mean,ci_low,ci_high,n_bootstrap_used
CFTR_unique,auc_roc,0.9625112690858539,0.8946898496240602,1.0,1000
CFTR_unique,auc_pr,0.9594740393118307,0.8768178421506343,1.0,1000
CFTR_unique,f1_macro,0.8810896355809302,0.7638888888888888,0.9705627705627706,1000
CFTR_unique,f1_weighted,0.8843864168227948,0.7647058823529411,0.9707196596982873,1000
CFTR_unique,mcc,0.7684341974065882,0.533113989983183,0.9428090415820634,1000
CFTR_unique,cohen_kappa,0.7631698555528784,0.5294117647058824,0.9411764705882353,1000
KANSER_unique,auc_roc,0.9003899940880408,0.8484508281573498,0.9458525960170697,1000
KANSER_unique,auc_pr,0.7712016624795667,0.6332482587403584,0.8833134163157034,1000
KANSER_unique,f1_macro,0.7200109556440955,0.6438915898610303,0.7912082340414744,1000
KANSER_unique,f1_weighted,0.7351112272816238,0.6625504032258065,0.8045620964971294,1000
KANSER_unique,mcc,0.5279489251925059,0.4110444148276505,0.6336755070652074,1000
KANSER_unique,cohen_kappa,0.4710922367741138,0.34908879458929465,0.5931643441986376,1000
PAH_unique,auc_roc,0.8200529078618538,0.7385263987391647,0.8918703786228297,1000
PAH_unique,auc_pr,0.838860716193846,0.7314503791736389,0.9237909773916256,1000
PAH_unique,f1_macro,0.7277534402292056,0.6419058648358011,0.8024243203183421,1000
PAH_unique,f1_weighted,0.7428548232113024,0.6561420124776289,0.8185274656978521,1000
PAH_unique,mcc,0.4952355634510613,0.33803955207541425,0.6335512319838931,1000
PAH_unique,cohen_kappa,0.46924560803850235,0.30767522211253695,0.6123309347510584,1000
