feature,importance,feature_group
AL_87,2,AL / population frequency
AL_171,2,AL / population frequency
AL_180,2,AL / population frequency
AL_153,2,AL / population frequency
AL_295,2,AL / population frequency
AL_308,2,AL / population frequency
AL_135,2,AL / population frequency
AL_129,2,AL / population frequency
AL_314,2,AL / population frequency
AL_290,2,AL / population frequency
AL_282,2,AL / population frequency
AL_242,2,AL / population frequency
AL_249,2,AL / population frequency
AL_277,2,AL / population frequency
AL_222,2,AL / population frequency
AL_221,1,AL / population frequency
AL_257,1,AL / population frequency
AL_258,1,AL / population frequency
AL_193,1,AL / population frequency
AL_253,1,AL / population frequency
AL_209,1,AL / population frequency
AL_250,1,AL / population frequency
AL_213,1,AL / population frequency
AL_329,1,AL / population frequency
AL_333,1,AL / population frequency
AL_334,1,AL / population frequency
AL_72,1,AL / population frequency
miss_EK3,1,missingness
npops_tier_10,1,other
AL_3,1,AL / population frequency
AL_310,1,AL / population frequency
AL_159,1,AL / population frequency
AL_285,1,AL / population frequency
AL_150,1,AL / population frequency
AL_293,1,AL / population frequency
AL_286,1,AL / population frequency
AL_174,1,AL / population frequency
AL_165,1,AL / population frequency
AL_268,1,AL / population frequency
AL_233,0,AL / population frequency
AL_232,0,AL / population frequency
AL_231,0,AL / population frequency
AL_229,0,AL / population frequency
AL_228,0,AL / population frequency
AL_227,0,AL / population frequency
AL_225,0,AL / population frequency
AL_236,0,AL / population frequency
AL_200,0,AL / population frequency
AL_198,0,AL / population frequency
AL_245,0,AL / population frequency
AL_204,0,AL / population frequency
AL_244,0,AL / population frequency
AL_237,0,AL / population frequency
AL_240,0,AL / population frequency
AL_241,0,AL / population frequency
cat6_lcr,0,CAT / metadata
geno_consistent,0,CAT / metadata
aa_involves_P,0,AA / amino-acid
geno_missing,0,CAT / metadata
AL_214,0,AL / population frequency
AL_216,0,AL / population frequency
AL_217,0,AL / population frequency
aa_to_special,0,AA / amino-acid
AL_220,0,AL / population frequency
cat2_AllofUs_EUR,0,CAT / metadata
cat2_AllofUs_OTH,0,CAT / metadata
cat2_AllofUs_MID,0,CAT / metadata
cat2_missing,0,CAT / metadata
cat6_has_filter,0,CAT / metadata
cat6_segdup,0,CAT / metadata
cat2_AllofUs_SAS,0,CAT / metadata
AL_197,0,AL / population frequency
AL_195,0,AL / population frequency
AL_192,0,AL / population frequency
AL_191,0,AL / population frequency
AL_187,0,AL / population frequency
AL_189,0,AL / population frequency
AL_183,0,AL / population frequency
AL_182,0,AL / population frequency
AL_252,0,AL / population frequency
AL_261,0,AL / population frequency
AL_259,0,AL / population frequency
AL_256,0,AL / population frequency
AL_210,0,AL / population frequency
AL_208,0,AL / population frequency
AL_212,0,AL / population frequency
AL_248,0,AL / population frequency
AL_176,0,AL / population frequency
AL_173,0,AL / population frequency
AL_170,0,AL / population frequency
AL_167,0,AL / population frequency
AL_281,0,AL / population frequency
AL_280,0,AL / population frequency
AL_179,0,AL / population frequency
AL_278,0,AL / population frequency
AL_288,0,AL / population frequency
AL_272,0,AL / population frequency
AL_273,0,AL / population frequency
AL_274,0,AL / population frequency
AL_269,0,AL / population frequency
AL_270,0,AL / population frequency
AL_276,0,AL / population frequency
AL_263,0,AL / population frequency
AL_158,0,AL / population frequency
AL_155,0,AL / population frequency
AL_164,0,AL / population frequency
AL_161,0,AL / population frequency
AL_299,0,AL / population frequency
AL_303,0,AL / population frequency
AL_307,0,AL / population frequency
AL_294,0,AL / population frequency
AL_134,0,AL / population frequency
AL_137,0,AL / population frequency
AL_140,0,AL / population frequency
AL_141,0,AL / population frequency
AL_143,0,AL / population frequency
AL_144,0,AL / population frequency
AL_146,0,AL / population frequency
AL_309,0,AL / population frequency
AL_119,0,AL / population frequency
AL_122,0,AL / population frequency
AL_126,0,AL / population frequency
AL_125,0,AL / population frequency
AL_128,0,AL / population frequency
AL_131,0,AL / population frequency
AL_132,0,AL / population frequency
AL_312,0,AL / population frequency
AL_316,0,AL / population frequency
AL_284,0,AL / population frequency
AL_292,0,AL / population frequency
AL_289,0,AL / population frequency
AL_149,0,AL / population frequency
AL_152,0,AL / population frequency
AL_265,0,AL / population frequency
AL_267,0,AL / population frequency
AL_107,0,AL / population frequency
AL_104,0,AL / population frequency
AL_102,0,AL / population frequency
AL_101,0,AL / population frequency
AL_324,0,AL / population frequency
AL_322,0,AL / population frequency
AL_320,0,AL / population frequency
AL_116,0,AL / population frequency
AL_328,0,AL / population frequency
AL_326,0,AL / population frequency
AL_332,0,AL / population frequency
miss_AL1_6,0,missingness
AL_89,0,AL / population frequency
AL_92,0,AL / population frequency
AL_114,0,AL / population frequency
AL_108,0,AL / population frequency
AL_98,0,AL / population frequency
