evaluation_split,model_name,threshold,n_samples,n_pathogenic,n_benign,precision,recall,specificity,f1_binary,f1_macro,mcc,pr_auc,roc_auc,tn,fp,fn,tp,source_prediction_file,verified_timestamp
MASTER_ONLY_CV,audited_master_only_lgbm,0.4381502900787569,2353,1611,742,0.8548972188633616,0.877715704531347,0.6765498652291105,0.866156202143951,0.78144728913582,0.5635874115286258,0.9040847361024198,0.8478143022783056,502,240,197,1414,artifacts\predictions\audited_master_only_oof_predictions.csv,2026-06-24T16:16:21.621400+00:00
CFTR_UNIQUE,audited_master_only_lgbm,0.4381502900787569,34,17,17,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.961640598924336,0.9619377162629758,15,2,2,15,artifacts\predictions\audited_panel_unique_predictions.csv,2026-06-24T16:16:21.621400+00:00
KANSER_UNIQUE,audited_master_only_lgbm,0.4381502900787569,142,45,97,0.6176470588235294,0.9333333333333333,0.7319587628865979,0.7433628318584071,0.7868860942917766,0.6196324759812673,0.8004422956308449,0.9060710194730813,71,26,3,42,artifacts\predictions\audited_panel_unique_predictions.csv,2026-06-24T16:16:21.621400+00:00
PAH_UNIQUE,audited_master_only_lgbm,0.4381502900787569,117,68,49,0.7662337662337663,0.8676470588235294,0.6326530612244898,0.8137931034482758,0.755211158465711,0.5203646012372429,0.8544740445061736,0.8211284513805522,31,18,9,59,artifacts\predictions\audited_panel_unique_predictions.csv,2026-06-24T16:16:21.621400+00:00
PANEL_UNIQUE_COMBINED,audited_master_only_lgbm,0.4381502900787569,293,130,163,0.7160493827160493,0.8923076923076924,0.7177914110429447,0.7945205479452054,0.795219457646072,0.6096389550032087,0.8255123873792957,0.8761680037753657,117,46,14,116,artifacts\predictions\audited_panel_unique_predictions.csv,2026-06-24T16:16:21.621400+00:00
