model_name,evaluation_split,threshold_type,threshold_value,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,f1_macro,f1_weighted,precision,recall,specificity,mcc,log_loss,brier_score,tn,fp,fn,tp,n_samples
acmg_rule_baseline,MASTER_CV,default_0.5,0.5,0.5439864003399915,0.5960968309181653,0.6812777217278113,0.7958015756708998,0.5773926742812131,0.5411190413399605,0.5545154659153742,0.7898706896551724,0.4549968963376785,0.7371967654986523,0.18272895222653185,2.282642126250112,0.4227601720522319,547,195,878,733,2353
acmg_rule_baseline,MASTER_CV,f1_macro_opt,0.0009110511944006454,0.7212069698257544,0.6222888965853022,0.6812777217278113,0.7958015756708998,0.8138479001135074,0.629428180175197,0.697537290513655,0.7496079456351281,0.8901303538175046,0.35444743935309975,0.29146265832436574,2.282642126250112,0.4227601720522319,263,479,177,1434,2353
acmg_rule_baseline,MASTER_CV,youden_j,0.04742587317756678,0.619209519762006,0.6310398021687154,0.6812777217278113,0.7958015756708998,0.6829440905874027,0.6031741729532758,0.6326344612762916,0.7942386831275721,0.5990068280571074,0.6630727762803235,0.24368212727645353,2.282642126250112,0.4227601720522319,492,250,646,965,2353
catboost,MASTER_CV,default_0.5,0.5,0.811729706757331,0.7232917727014913,0.8454568574205973,0.9060067312655419,0.8750352609308886,0.7467338234025674,0.7941175672241191,0.8019648397104446,0.962756052141527,0.4838274932614555,0.5423968937689433,0.4553782015638968,0.14367106117886227,359,383,60,1551,2353
catboost,MASTER_CV,f1_macro_opt,0.6116875195912915,0.8113047173820654,0.7644190630118741,0.8454568574205973,0.9060067312655419,0.8661037394451147,0.77333963950673,0.8075988842353558,0.8422287390029326,0.8913718187461204,0.637466307277628,0.5500761126084976,0.4553782015638968,0.14367106117886227,473,269,175,1436,2353
catboost,MASTER_CV,youden_j,0.6656921389625305,0.7611559711007225,0.7663255984379627,0.8454568574205973,0.9060067312655419,0.8117883456128601,0.7425220797831742,0.7681032038826204,0.8814545454545455,0.7523277467411545,0.7803234501347709,0.5021943861670759,0.4553782015638968,0.14367106117886227,579,163,399,1212,2353
ensemble_stack_l1,MASTER_CV,default_0.5,0.5,0.7790055248618785,0.7724547040980054,0.8467861618488793,0.9062025276769416,0.8303979125896934,0.756662370928993,0.783894069060378,0.874914089347079,0.7901924270639354,0.7547169811320755,0.5211999485683103,0.47069230487475766,0.15150320445160093,560,182,338,1273,2353
ensemble_stack_l1,MASTER_CV,f1_macro_opt,0.3564007583004819,0.8168295792605185,0.7619110361547381,0.8467861618488793,0.9062025276769416,0.8719167904903418,0.7752574258193692,0.8109552532307909,0.8363740022805017,0.9106145251396648,0.6132075471698113,0.5587342723687476,0.47069230487475766,0.15150320445160093,455,287,144,1467,2353
ensemble_stack_l1,MASTER_CV,youden_j,0.4997363150941395,0.779430514237144,0.7727650703301594,0.8467861618488793,0.9062025276769416,0.8307792631235735,0.757061382629511,0.784286558213591,0.875,0.7908131595282434,0.7547169811320755,0.5219051282848577,0.47069230487475766,0.15150320445160093,560,182,337,1274,2353
extra_trees,MASTER_CV,default_0.5,0.5,0.7824054398640033,0.7418602063642645,0.828206434536149,0.8939175308845154,0.8427518427518428,0.7448241972379903,0.7809904207618058,0.8340425531914893,0.8516449410304159,0.6320754716981132,0.4900546987030817,0.46020635908677904,0.14828352687787716,469,273,239,1372,2353
extra_trees,MASTER_CV,f1_macro_opt,0.5491780017304396,0.7824054398640033,0.7534918292533976,0.828206434536149,0.8939175308845154,0.8395989974937343,0.7507109914813455,0.7835387336083178,0.8475648323845667,0.8317815021725636,0.6752021563342318,0.5017288783793511,0.46020635908677904,0.14828352687787716,501,241,271,1340,2353
extra_trees,MASTER_CV,youden_j,0.6606030300567212,0.7564810879728007,0.7603671523772715,0.828206434536149,0.8939175308845154,0.8082970893275343,0.7372877409363356,0.7635126129091158,0.8766328011611031,0.749844816883923,0.77088948787062,0.4911781003591706,0.46020635908677904,0.14828352687787716,572,170,403,1208,2353
lightgbm,MASTER_CV,default_0.5,0.5,0.7050573735656609,0.534162454553516,0.8375186763507625,0.9011216655590524,0.8223246287762417,0.4774123143881208,0.6047938703606143,0.6997821350762528,0.9968963376784605,0.07142857142857142,0.2047497799816007,0.5241235223949027,0.17273168379567105,53,689,5,1606,2353
lightgbm,MASTER_CV,f1_macro_opt,0.622612398585205,0.8019549511262218,0.7445054301542127,0.8375186763507625,0.9011216655590524,0.8615567439096851,0.7568977749399172,0.7955499823494915,0.8262108262108262,0.9000620732464308,0.5889487870619946,0.5218901195064469,0.5241235223949027,0.17273168379567105,437,305,161,1450,2353
lightgbm,MASTER_CV,youden_j,0.6812131294569487,0.7692307692307693,0.7678606982654628,0.8375186763507625,0.9011216655590524,0.820732915153516,0.7484702142851658,0.7751579690894991,0.8765867418899859,0.771570453134699,0.7641509433962265,0.5086801542189279,0.5241235223949027,0.17273168379567105,567,175,368,1243,2353
logistic_regression_ek_only,MASTER_CV,default_0.5,0.5,0.694857628559286,0.645574311380151,0.7052441017867391,0.8148638182682375,0.7775712515489467,0.6458898206323894,0.6945218493049301,0.7761286332714904,0.7790192427063936,0.5121293800539084,0.2917900952675554,0.6237892354564881,0.2148231925387683,380,362,356,1255,2353
logistic_regression_ek_only,MASTER_CV,f1_macro_opt,0.505007802580019,0.694857628559286,0.6477552406718634,0.7052441017867391,0.8148638182682375,0.7767412935323383,0.6474310494507329,0.6951873614383721,0.7781931464174455,0.7752948479205463,0.5202156334231806,0.2948725156156038,0.6237892354564881,0.2148231925387683,386,356,362,1249,2353
