iter	Logloss
0	0.6846129193
1	0.6761649838
2	0.6685860789
3	0.6633061777
4	0.6565914537
5	0.6503506304
6	0.6443944311
7	0.6387962639
8	0.6339849004
9	0.6290866027
10	0.6248340825
11	0.6219651972
12	0.6175368134
13	0.613816403
14	0.6101721839
15	0.6075867857
16	0.6039398296
17	0.6008426711
18	0.5978724155
19	0.5952309519
20	0.5930348788
21	0.5906482068
22	0.5887745163
23	0.5867394916
24	0.5836936678
25	0.5815239865
26	0.5788860182
27	0.5771243991
28	0.5747054203
29	0.5731344661
30	0.5706831513
31	0.5695864871
32	0.5680052866
33	0.566221095
34	0.5642506495
35	0.563163862
36	0.5614775078
37	0.5598987825
38	0.5583247225
39	0.5565812583
40	0.5552698183
41	0.5542269575
42	0.5521380911
43	0.5511341743
44	0.5498633042
45	0.5491322437
46	0.5477589472
47	0.5465785284
48	0.5450841767
49	0.5442284408
50	0.5434858411
51	0.5419631414
52	0.5411120559
53	0.5399381133
54	0.5391787841
55	0.538555382
56	0.5372671652
57	0.5363863688
58	0.5351033877
59	0.5343220362
60	0.5333411797
61	0.532303578
62	0.5312158512
63	0.5300773352
64	0.5291448797
65	0.5284365082
66	0.5276549793
67	0.5265746137
68	0.5260090911
69	0.5249475937
70	0.5232899354
71	0.522768469
72	0.5224111104
73	0.521614144
74	0.5206512928
75	0.5197840233
76	0.5181643783
77	0.5169950971
78	0.5165365872
79	0.5158232552
80	0.5148527564
81	0.5141380139
82	0.5136046136
83	0.5133148437
84	0.5125269718
85	0.5121424372
86	0.5111637344
87	0.5106337571
88	0.5097580973
89	0.5089989046
90	0.5084450442
91	0.5077682685
92	0.5069844688
93	0.5065360566
94	0.5055893741
95	0.5049503984
96	0.5045376987
97	0.5039888705
98	0.5028536732
99	0.5019409116
100	0.5014173414
101	0.5012735685
102	0.5005257433
103	0.500455482
104	0.4998156427
105	0.4990701158
106	0.4986263521
107	0.4982357825
108	0.4974037265
109	0.4966868979
110	0.4961565551
111	0.4955651203
112	0.4948331832
113	0.4942138808
114	0.4932563938
115	0.492324108
116	0.4911991714
117	0.4904764981
118	0.4898337871
119	0.4889892804
