dataset_split,threshold,tn,fp,fn,tp
LEGACY_MASTER_CV,0.471,485,257,185,1426
LEGACY_PANEL_UNIQUE_COMBINED,0.471,106,57,10,120
MASTER_ONLY_CV,0.4381502900787569,502,240,197,1414
CFTR_UNIQUE,0.4381502900787569,15,2,2,15
KANSER_UNIQUE,0.4381502900787569,71,26,3,42
PAH_UNIQUE,0.4381502900787569,31,18,9,59
PANEL_UNIQUE_COMBINED,0.4381502900787569,117,46,14,116
