mean_predicted_probability,fraction_positive,ece,brier_score
0.015329520355747606,0.0,0.27478583632861797,0.25209112366808156
0.1397484123211351,0.0,0.27478583632861797,0.25209112366808156
0.28769766279863257,0.0,0.27478583632861797,0.25209112366808156
0.3567889124217513,0.0,0.27478583632861797,0.25209112366808156
0.44715101375537963,0.6666666666666666,0.27478583632861797,0.25209112366808156
0.5640799079567702,0.5,0.27478583632861797,0.25209112366808156
0.6420611812212692,0.0,0.27478583632861797,0.25209112366808156
0.7336704143227039,0.3333333333333333,0.27478583632861797,0.25209112366808156
0.8671391147377725,0.0,0.27478583632861797,0.25209112366808156
0.9908665261519479,0.5774647887323944,0.27478583632861797,0.25209112366808156
