mean_predicted_probability,fraction_positive,ece,brier_score
0.005375601703640121,0.05263157894736842,0.21588246368980374,0.20860784761955872
0.11779382341171982,0.0,0.21588246368980374,0.20860784761955872
0.28151540398662184,0.0,0.21588246368980374,0.20860784761955872
0.30179937729726575,1.0,0.21588246368980374,0.20860784761955872
0.47601283484191825,0.2,0.21588246368980374,0.20860784761955872
0.5115933600255482,0.5,0.21588246368980374,0.20860784761955872
0.6386855810435464,1.0,0.21588246368980374,0.20860784761955872
0.7353305832525829,0.3333333333333333,0.21588246368980374,0.20860784761955872
0.8796680592834222,0.42857142857142855,0.21588246368980374,0.20860784761955872
0.99046241479313,0.7702702702702703,0.21588246368980374,0.20860784761955872
